guid,retrofit_key,retrofit_value
e6c74c95-587a-4d94-b1de-cba50501c7a0,Wood or Metal Deck Diaphragms Retrofitted,
05002f76-175d-4474-ab94-732a5246c43e,Wood or Metal Deck Diaphragms Retrofitted,
11dd75a7-4ba5-458a-8204-c405d83a77cd,Wood or Metal Deck Diaphragms Retrofitted,
cdece3a0-29a9-4c30-b776-465eae92d2d7,Wood or Metal Deck Diaphragms Retrofitted,
4549be43-343e-40af-9fea-8c38972e3aee,Wood or Metal Deck Diaphragms Retrofitted,
c0ecbb85-589d-4db3-affe-9dd34ff39c01,Wood or Metal Deck Diaphragms Retrofitted,
f8dd52bb-42af-46c5-a745-3bddd4b76a6c,Wood or Metal Deck Diaphragms Retrofitted,
ad5f85a6-970d-4606-892a-026121ee2274,Wood or Metal Deck Diaphragms Retrofitted,
60777cbe-88b3-4d14-886e-e7d75d01bd8b,Wood or Metal Deck Diaphragms Retrofitted,
c34cb2c3-1d96-4d90-b344-c8ff05cf549e,Wood or Metal Deck Diaphragms Retrofitted,
72e97311-20ba-44b2-adcb-89248a303f02,Wood or Metal Deck Diaphragms Retrofitted,
6b444143-7fc4-438f-8249-d4a8277c437b,Wood or Metal Deck Diaphragms Retrofitted,
2fecbb17-40d3-4f75-ae71-686ae16c3c7e,Wood or Metal Deck Diaphragms Retrofitted,
a70458ed-87c1-4849-a059-20b2163f613b,Wood or Metal Deck Diaphragms Retrofitted,
ff05b5a9-ae68-467c-a21f-17ce63c2f78d,Wood or Metal Deck Diaphragms Retrofitted,
db087944-f2cc-4913-bdc1-e5083efe33e2,Wood or Metal Deck Diaphragms Retrofitted,
c5dac25b-33da-4d3b-a22b-e0576e99e970,Wood or Metal Deck Diaphragms Retrofitted,
962a7298-f028-4939-b353-a3556ac1593e,Wood or Metal Deck Diaphragms Retrofitted,
8cba23b3-58ba-4caf-9c45-ba026514c2dc,Wood or Metal Deck Diaphragms Retrofitted,
e13a9f1c-e328-4db9-825f-0b63c8fcd7d8,Wood or Metal Deck Diaphragms Retrofitted,
b3013f44-1e82-4794-b5fc-229a14535641,Wood or Metal Deck Diaphragms Retrofitted,
17efa3c9-3952-412d-bf92-93e9a2c6e704,Wood or Metal Deck Diaphragms Retrofitted,
4e44a3c8-f7f9-479f-8c60-f3d01668dc3b,Wood or Metal Deck Diaphragms Retrofitted,
def809a4-1aa2-4027-8a77-3a56c96886dd,Wood or Metal Deck Diaphragms Retrofitted,
bcf2d857-91d3-4443-8e74-f28abb9b2119,Wood or Metal Deck Diaphragms Retrofitted,
5f0447ec-a3d3-4006-a894-fd7b9290b254,Wood or Metal Deck Diaphragms Retrofitted,
